distance(last, first) = currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
currPtr: 0x7fc6de4027d0, pos: 2, value: 66
